iteration,alpha_fitness,max_fitness,min_fitness,avg_fitness,alpha_accuracy,alpha_precision,alpha_recall,alpha_f1,features_selected,alpha_mask
1,0.948275,0.948275,0.885439,0.924876,0.991228,0.993243,0.987805,0.990426,13,10000010000100100010111111101
2,0.951579,0.951579,0.899035,0.918429,0.991228,0.993243,0.987805,0.990426,12,01000001001001101101111000010
3,0.956257,0.956257,0.892398,0.922542,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
4,0.956257,0.944971,0.897368,0.918354,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
5,0.956257,0.951579,0.894152,0.922712,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
6,0.956257,0.948275,0.900585,0.923844,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
7,0.956257,0.954883,0.899035,0.923764,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
8,0.956257,0.948275,0.897368,0.921205,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
9,0.956257,0.944474,0.895789,0.919167,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
10,0.956257,0.954883,0.900585,0.924852,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
11,0.956257,0.951579,0.895585,0.919581,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
12,0.956257,0.951579,0.892398,0.921773,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
13,0.956257,0.946433,0.892398,0.920230,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
14,0.956257,0.948275,0.897368,0.917352,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
15,0.956257,0.948275,0.897368,0.921474,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
16,0.956257,0.951579,0.891667,0.920604,0.982456,0.980956,0.980956,0.980956,8,00000011000001001110100010000
17,0.961491,0.961491,0.900585,0.922208,0.991228,0.993243,0.987805,0.990426,9,01000001010101000000010010110
18,0.961491,0.941667,0.900585,0.922759,0.991228,0.993243,0.987805,0.990426,9,01000001010101000000010010110
19,0.961491,0.951579,0.900585,0.921332,0.991228,0.993243,0.987805,0.990426,9,01000001010101000000010010110
20,0.961491,0.948275,0.895789,0.921835,0.991228,0.993243,0.987805,0.990426,9,01000001010101000000010010110
