iteration,alpha_fitness,max_fitness,min_fitness,avg_fitness,alpha_accuracy,alpha_precision,alpha_recall,alpha_f1,features_selected,alpha_mask
1,0.892317,0.892317,0.884093,0.887079,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
2,0.892317,0.881246,0.874287,0.877447,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
3,0.892317,0.880771,0.872547,0.877507,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
4,0.892317,0.880297,0.873022,0.877039,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
5,0.892317,0.881088,0.873971,0.877143,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
6,0.892317,0.882195,0.873022,0.876887,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
7,0.892317,0.880771,0.872231,0.876492,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
8,0.892317,0.880455,0.871756,0.876814,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
9,0.892317,0.882511,0.873180,0.876729,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
10,0.892317,0.881562,0.872864,0.877020,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
11,0.892317,0.881404,0.873654,0.876840,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
12,0.892317,0.879348,0.874129,0.877162,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
13,0.892317,0.880297,0.873812,0.876640,0.933121,0.466561,0.500000,0.482702,258,1100110011011101000000010010100010100110000001011001101000000000010000000111000100000011111101100000101110010000010010110011100011000101011110000001100010000110001111100011010010110101001110110000001100000010000100110000010010101111001011101010011111110000111111010100111010010001100101010001001010100010100001010000100100000111001101110010000011100110101100001000011000111100001100111011000100101111010110100011101110101110100111100100000111010101000010111100110011100000101000010001011010100110111000101101011000010000010011001001101011111001111111100000100100000111000010100001010010110
