iteration,alpha_fitness,max_fitness,min_fitness,avg_fitness,alpha_accuracy,alpha_precision,alpha_recall,alpha_f1,features_selected,alpha_mask
1,0.661042,0.661042,0.553401,0.601372,0.692308,0.405770,0.371429,0.378046,126,01101011100011001100100011010000001001011110011111101011000010010110010111110100010110000001101110001000100001010010000000101100101000001100110010000100110100101100000011101000000111101011100110010001010000010111011011100101011111100111100101100001110111110000011110000110001000
2,0.661042,0.651365,0.536610,0.603316,0.692308,0.405770,0.371429,0.378046,126,01101011100011001100100011010000001001011110011111101011000010010110010111110100010110000001101110001000100001010010000000101100101000001100110010000100110100101100000011101000000111101011100110010001010000010111011011100101011111100111100101100001110111110000011110000110001000
3,0.661042,0.630687,0.543172,0.597129,0.692308,0.405770,0.371429,0.378046,126,01101011100011001100100011010000001001011110011111101011000010010110010111110100010110000001101110001000100001010010000000101100101000001100110010000100110100101100000011101000000111101011100110010001010000010111011011100101011111100111100101100001110111110000011110000110001000
4,0.661042,0.657923,0.547347,0.596393,0.692308,0.405770,0.371429,0.378046,126,01101011100011001100100011010000001001011110011111101011000010010110010111110100010110000001101110001000100001010010000000101100101000001100110010000100110100101100000011101000000111101011100110010001010000010111011011100101011111100111100101100001110111110000011110000110001000
5,0.661042,0.649628,0.558525,0.599568,0.692308,0.405770,0.371429,0.378046,126,01101011100011001100100011010000001001011110011111101011000010010110010111110100010110000001101110001000100001010010000000101100101000001100110010000100110100101100000011101000000111101011100110010001010000010111011011100101011111100111100101100001110111110000011110000110001000
6,0.661042,0.636142,0.554484,0.599736,0.692308,0.405770,0.371429,0.378046,126,01101011100011001100100011010000001001011110011111101011000010010110010111110100010110000001101110001000100001010010000000101100101000001100110010000100110100101100000011101000000111101011100110010001010000010111011011100101011111100111100101100001110111110000011110000110001000
7,0.661042,0.650124,0.556824,0.599809,0.692308,0.405770,0.371429,0.378046,126,01101011100011001100100011010000001001011110011111101011000010010110010111110100010110000001101110001000100001010010000000101100101000001100110010000100110100101100000011101000000111101011100110010001010000010111011011100101011111100111100101100001110111110000011110000110001000
8,0.661042,0.637363,0.544842,0.594167,0.692308,0.405770,0.371429,0.378046,126,01101011100011001100100011010000001001011110011111101011000010010110010111110100010110000001101110001000100001010010000000101100101000001100110010000100110100101100000011101000000111101011100110010001010000010111011011100101011111100111100101100001110111110000011110000110001000
9,0.661042,0.649628,0.563669,0.601654,0.692308,0.405770,0.371429,0.378046,126,01101011100011001100100011010000001001011110011111101011000010010110010111110100010110000001101110001000100001010010000000101100101000001100110010000100110100101100000011101000000111101011100110010001010000010111011011100101011111100111100101100001110111110000011110000110001000
10,0.661042,0.648883,0.549644,0.598827,0.692308,0.405770,0.371429,0.378046,126,01101011100011001100100011010000001001011110011111101011000010010110010111110100010110000001101110001000100001010010000000101100101000001100110010000100110100101100000011101000000111101011100110010001010000010111011011100101011111100111100101100001110111110000011110000110001000
