iteration,alpha_fitness,max_fitness,min_fitness,avg_fitness,alpha_accuracy,alpha_precision,alpha_recall,alpha_f1,features_selected,alpha_mask
1,0.941667,0.941667,0.903801,0.920599,0.991228,0.993243,0.987805,0.990426,15,110011001000010111001101111000
2,0.941667,0.923509,0.897368,0.914901,0.991228,0.993243,0.987805,0.990426,15,110011001000010111001101111000
3,0.941667,0.930058,0.899035,0.915462,0.991228,0.993243,0.987805,0.990426,15,110011001000010111001101111000
4,0.941667,0.935058,0.905526,0.921494,0.991228,0.993243,0.987805,0.990426,15,110011001000010111001101111000
5,0.941667,0.941667,0.903801,0.918889,0.991228,0.993243,0.987805,0.990426,15,110011001000010111001101111000
6,0.943158,0.943158,0.895789,0.924006,0.982456,0.986667,0.975610,0.980743,12,000100100100011111011100100000
7,0.943158,0.935058,0.901053,0.919050,0.982456,0.986667,0.975610,0.980743,12,000100100100011111011100100000
8,0.943158,0.935058,0.895789,0.911664,0.982456,0.986667,0.975610,0.980743,12,000100100100011111011100100000
9,0.943158,0.931491,0.899035,0.919178,0.982456,0.986667,0.975610,0.980743,12,000100100100011111011100100000
10,0.943158,0.933333,0.884211,0.911646,0.982456,0.986667,0.975610,0.980743,12,000100100100011111011100100000
11,0.943158,0.939883,0.897368,0.919904,0.982456,0.986667,0.975610,0.980743,12,000100100100011111011100100000
12,0.943158,0.935058,0.898772,0.913795,0.982456,0.986667,0.975610,0.980743,12,000100100100011111011100100000
13,0.943158,0.943158,0.902281,0.921678,0.982456,0.986667,0.975610,0.980743,12,000100100100011111011100100000
14,0.943158,0.938363,0.899035,0.919018,0.982456,0.986667,0.975610,0.980743,12,000100100100011111011100100000
15,0.943158,0.926316,0.900585,0.912424,0.982456,0.986667,0.975610,0.980743,12,000100100100011111011100100000
16,0.943158,0.939883,0.902281,0.916746,0.982456,0.986667,0.975610,0.980743,12,000100100100011111011100100000
17,0.944971,0.944971,0.899035,0.916196,0.991228,0.993243,0.987805,0.990426,14,010111010100010011110100101000
18,0.944971,0.933333,0.903860,0.916576,0.991228,0.993243,0.987805,0.990426,14,010111010100010011110100101000
19,0.944971,0.944971,0.905526,0.922520,0.991228,0.993243,0.987805,0.990426,14,010111010100010011110100101000
20,0.948275,0.948275,0.902281,0.920564,0.991228,0.993243,0.987805,0.990426,13,110000000010011011010101011010
21,0.948275,0.941228,0.902281,0.920006,0.991228,0.993243,0.987805,0.990426,13,110000000010011011010101011010
22,0.951579,0.951579,0.901053,0.925193,0.991228,0.993243,0.987805,0.990426,12,110001001100010001000101101001
23,0.951579,0.951579,0.903801,0.923488,0.991228,0.993243,0.987805,0.990426,12,110001001100010001000101101001
24,0.951579,0.951579,0.895585,0.921383,0.991228,0.993243,0.987805,0.990426,12,110001001100010001000101101001
25,0.951579,0.931754,0.907018,0.921681,0.991228,0.993243,0.987805,0.990426,12,110001001100010001000101101001
26,0.951579,0.930058,0.902281,0.912161,0.991228,0.993243,0.987805,0.990426,12,110001001100010001000101101001
27,0.951579,0.943158,0.903801,0.922158,0.991228,0.993243,0.987805,0.990426,12,110001001100010001000101101001
28,0.951579,0.931491,0.901959,0.915827,0.991228,0.993243,0.987805,0.990426,12,110001001100010001000101101001
29,0.951579,0.941667,0.893684,0.915257,0.991228,0.993243,0.987805,0.990426,12,110001001100010001000101101001
30,0.951579,0.936608,0.910234,0.925371,0.991228,0.993243,0.987805,0.990426,12,110001001100010001000101101001
