iteration,alpha_fitness,features_selected,alpha_mask
1,0.933333,15,000011100100111101101101010001
2,0.935058,17,010101110101010001100111001111
3,0.936608,14,011110011001000101010111000010
4,0.936608,14,011110011001000101010111000010
5,0.938363,16,010011001111001110110101000011
6,0.938363,16,010011001111001110110101000011
7,0.938363,16,010011001111001110110101000011
8,0.948275,13,010001100110001010010101010101
9,0.948275,13,010001100110001010010101010101
10,0.948275,13,010001100110001010010101010101
11,0.948275,13,010001100110001010010101010101
12,0.948275,13,010001100110001010010101010101
13,0.948275,13,010001100110001010010101010101
14,0.948275,13,010001100110001010010101010101
15,0.948275,13,010001100110001010010101010101
16,0.948275,13,010001100110001010010101010101
17,0.948275,13,010001100110001010010101010101
18,0.948275,13,010001100110001010010101010101
19,0.948275,13,010001100110001010010101010101
20,0.948275,13,010001100110001010010101010101
21,0.948275,13,010001100110001010010101010101
22,0.948275,13,010001100110001010010101010101
23,0.948275,13,010001100110001010010101010101
24,0.948275,13,010001100110001010010101010101
25,0.948275,13,010001100110001010010101010101
26,0.948275,13,010001100110001010010101010101
27,0.948275,13,010001100110001010010101010101
28,0.948275,13,010001100110001010010101010101
29,0.948275,13,010001100110001010010101010101
30,0.948275,13,010001100110001010010101010101
