iteration,alpha_fitness,max_fitness,min_fitness,avg_fitness,alpha_accuracy,alpha_precision,alpha_recall,alpha_f1,features_selected,alpha_mask
1,0.618374,0.618374,0.572118,0.600321,0.648352,0.403073,0.315340,0.340326,129,010010100110111111010111110001001000000010000010111110011011000111110000000010111000110011101000111001000101001100101000000111101010001001010001100001000110010100111001110011100110011000100011011010101000010000100011101101000000111110110000011100110001101110111101100100001110101
2,0.622474,0.622474,0.577667,0.601804,0.659341,0.456040,0.333738,0.364308,156,010101101101100001110001000100100110001001001010000111110111000111110100110010011001111100010110111011000101011011100111100111100011001010001101111011001110110110110001001101110110101001011001011111101100100101100100111101011000011110001011011110110111011111100111000010011111111
3,0.622474,0.619638,0.549017,0.592907,0.659341,0.456040,0.333738,0.364308,156,010101101101100001110001000100100110001001001010000111110111000111110100110010011001111100010110111011000101011011100111100111100011001010001101111011001110110110110001001101110110101001011001011111101100100101100100111101011000011110001011011110110111011111100111000010011111111
4,0.647395,0.647395,0.568002,0.604899,0.692308,0.442818,0.395398,0.407127,181,100000101111011111010101101101110101111111001011011011011111111111011011110110010111010000110110001111010100011110101010100101001110101001111110101111111110010111110111010001110101011100111011010111110111010111000100110001110011011101011001111111110011011111011011010110110111111
5,0.647395,0.621293,0.565836,0.596795,0.692308,0.442818,0.395398,0.407127,181,100000101111011111010101101101110101111111001011011011011111111111011011110110010111010000110110001111010100011110101010100101001110101001111110101111111110010111110111010001110101011100111011010111110111010111000100110001110011011101011001111111110011011111011011010110110111111
6,0.647395,0.626122,0.547765,0.594724,0.692308,0.442818,0.395398,0.407127,181,100000101111011111010101101101110101111111001011011011011111111111011011110110010111010000110110001111010100011110101010100101001110101001111110101111111110010111110111010001110101011100111011010111110111010111000100110001110011011101011001111111110011011111011011010110110111111
7,0.647643,0.647643,0.577226,0.608920,0.692308,0.524637,0.402974,0.416035,180,110011100101001111010011101111010110100001101101101001101110011111111100111111101111011010111110111011011101110101001100100101101010111101111110110100011101111101110010101010000100010111111100101110110110111101010111111111010001111101101101111111101111000011010110010111001101110
8,0.647643,0.640781,0.546930,0.603899,0.692308,0.524637,0.402974,0.416035,180,110011100101001111010011101111010110100001101101101001101110011111111100111111101111011010111110111011011101110101001100100101101010111101111110110100011101111101110010101010000100010111111100101110110110111101010111111111010001111101101101111111101111000011010110010111001101110
9,0.647643,0.639316,0.573697,0.591058,0.692308,0.524637,0.402974,0.416035,180,110011100101001111010011101111010110100001101101101001101110011111111100111111101111011010111110111011011101110101001100100101101010111101111110110100011101111101110010101010000100010111111100101110110110111101010111111111010001111101101101111111101111000011010110010111001101110
10,0.650124,0.650124,0.574800,0.602856,0.692308,0.476368,0.391069,0.407809,170,110111100101001011010111101111101101011110001010111011111010001000000011011111111100110010111111111111100100111101011000100101101111011011100111110100001000001011000000011111010110110110010000011111111110111011100100111011011000010111111001111111100111010110110111010111110101100
11,0.650124,0.618220,0.574138,0.601714,0.692308,0.476368,0.391069,0.407809,170,110111100101001011010111101111101101011110001010111011111010001000000011011111111100110010111111111111100100111101011000100101101111011011100111110100001000001011000000011111010110110110010000011111111110111011100100111011011000010111111001111111100111010110110111010111110101100
12,0.650124,0.626362,0.577667,0.596339,0.692308,0.476368,0.391069,0.407809,170,110111100101001011010111101111101101011110001010111011111010001000000011011111111100110010111111111111100100111101011000100101101111011011100111110100001000001011000000011111010110110110010000011111111110111011100100111011011000010111111001111111100111010110110111010111110101100
13,0.650124,0.627803,0.563453,0.595924,0.692308,0.476368,0.391069,0.407809,170,110111100101001011010111101111101101011110001010111011111010001000000011011111111100110010111111111111100100111101011000100101101111011011100111110100001000001011000000011111010110110110010000011111111110111011100100111011011000010111111001111111100111010110110111010111110101100
